ID,nombre,flag_ID,tipoActividad_ID,fechaInicio,fechaFin,dueDate,descripcion,createdAt,createdBy,modifiedAt,modifiedBy
actividad-001,"Definición de alcance Sprint 1",flag-002,tipoActividad-001,2025-01-20,2025-02-10,2025-02-05,"Reunir requerimientos y definir historias de usuario para el primer sprint",2025-01-18T10:00:00Z,ana.lopez,2025-01-19T15:30:00Z,ana.lopez
actividad-002,"Configuración ambiente de Desarrollo",flag-001,tipoActividad-002,2025-01-25,2025-02-03,2025-02-01,"Instalar y parametrizar instancias SAP S/4HANA para el equipo",2025-01-24T08:45:00Z,maria.zapata,2025-01-24T12:00:00Z,maria.zapata
actividad-003,"Carga inicial de datos maestros",flag-003,tipoActividad-002,2025-02-05,2025-02-20,2025-02-18,"Extraer y transformar datos para la migración inicial",2025-02-04T11:00:00Z,carlos.ortiz,2025-02-05T09:20:00Z,luisa.mendez
actividad-004,"Diseño prototipo de interfaz",flag-004,tipoActividad-001,2025-02-08,2025-02-25,2025-02-22,"Crear wireframes y mock-ups para aprobación de UX",2025-02-07T10:15:00Z,luisa.mendez,2025-02-09T14:00:00Z,luisa.mendez
actividad-005,"Pruebas integradas Sprint 1",flag-002,tipoActividad-003,2025-02-12,2025-02-28,2025-02-26,"Ejecutar casos de prueba end-to-end y documentar defectos",2025-02-11T13:00:00Z,ana.lopez,2025-02-15T17:35:00Z,maria.zapata
actividad-006,"Capacitación usuarios clave",flag-003,tipoActividad-004,2025-03-02,2025-03-06,2025-03-05,"Entrenar usuarios en procesos core y nuevos flujos de SAP",2025-02-28T09:20:00Z,juan.suarez,2025-03-01T10:45:00Z,juan.suarez
actividad-007,"Ejecución Cut-Over",flag-001,tipoActividad-003,2025-04-28,2025-05-02,2025-04-30,"Realizar pasos de transición al entorno productivo",2025-04-20T16:10:00Z,carlos.ortiz,2025-04-27T18:00:00Z,ana.lopez
actividad-008,"Soporte post Go-Live – Semana 1",flag-002,tipoActividad-003,2025-05-03,2025-05-10,2025-05-10,"Monitorear incidencias y asegurar estabilización inicial",2025-04-30T11:00:00Z,maria.zapata,2025-05-04T09:50:00Z,maria.zapata
actividad-009,"Análisis de performance y optimización",flag-004,tipoActividad-002,2025-05-15,2025-05-25,2025-05-23,"Evaluar tiempos de respuesta y ajustar configuraciones",2025-05-13T14:20:00Z,luisa.mendez,2025-05-16T10:15:00Z,luisa.mendez
actividad-010,"Cierre administrativo del proyecto",flag-003,tipoActividad-001,2025-06-05,2025-06-12,2025-06-11,"Completar entregables, actas de aceptación y archivo documental",2025-06-01T08:00:00Z,juan.suarez,2025-06-06T12:45:00Z,carlos.ortiz